"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-12-20","50","23","24"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-12-21","56","24","32"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-12-22","67","32","38"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-12-23","66","37","38"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-12-24","63","37","38"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-12-25","54","26","27"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-12-26","57","24","24"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-12-27","38","23","23"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-12-28","39","23","25"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-12-29","30","10","10"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-12-30","34","10","15"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-12-31","39","15","17"
